"","first_price","mileage","age_car_years","diesel","other_car_owner","bmw_320","opel_astra","mercedes_c","vw_golf","vw_passat","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage2","mileage3","mileage4","age_3","age_6","age_car_years2","age_car_years3","age_car_years4","dur_next_ins_0","dur_next_ins_1_2","new_inspection","euro_1","euro_2","euro_3","euro_4","euro_5","euro_6"
"1",25.5,79.85,3.1,1,1,1,0,0,0,0,1,0,0,2,0,124,5,1,1,1,1,0,0,6376.0225,509125.41,40653664,1,0,9.6099997,29.791,92.352097,0,0,1,0,0,0,0,1,0
"2",21.91,77.1,3.7,1,1,0,0,0,0,1,1,0,0,0,1,136,5,1,1,1,1,0,0,5944.4102,458314,35336012,1,0,13.69,50.653,187.41611,1,0,0,0,0,0,0,1,0
"3",7.47,142.5,9.6,0,4,1,0,0,0,0,1,0,0,0,0,182,4,1,1,1,1,1,0,20306.25,2893640.5,412343776,1,1,92.160004,884.73602,8493.4658,1,0,0,0,0,0,1,0,0
"4",14.58,45.45,5,0,2,0,0,0,0,1,1,0,0,1,1,145,5,1,1,1,0,0,0,2065.7024,93886.18,4267127,1,0,25,125,625,0,1,0,0,0,0,0,1,0
"5",17.98,183.5,3.6,1,1,1,0,0,0,0,1,0,0,1,1,124,5,1,1,1,1,1,1,33672.25,6178858,1133820416,1,0,12.96,46.655998,167.96159,0,1,0,0,0,0,0,1,0
"6",19.03,74.85,3.1,1,1,0,0,0,0,1,1,0,0,1,1,125,5,1,1,1,1,0,0,5602.5225,419348.81,31388258,1,0,9.6099997,29.791,92.352097,0,1,0,0,0,0,0,1,0
"7",10.969,174,6.8,1,1,0,0,1,0,0,1,0,0,1,1,154,5,1,1,1,1,1,1,30276,5268024,916636160,1,1,46.240002,314.43201,2138.1377,0,1,0,0,0,0,0,1,0
"8",24.11,51.001,2.3,1,2,1,0,0,0,0,1,0,0,0,0,123,5,1,1,1,1,0,0,2601.1021,132658.8,6765731.5,0,0,5.29,12.167,27.9841,1,0,0,0,0,0,0,1,0
"9",13.26,62,2.6,1,2,0,0,0,1,0,1,0,0,0,0,119,5,1,1,1,1,0,0,3844,238328,14776336,0,0,6.7600002,17.576,45.697601,1,0,0,0,0,0,0,1,0
"10",20.882,76.85,3.3,1,1,0,0,0,0,1,1,0,0,1,1,135,5,1,1,1,1,0,0,5905.9224,453870.16,34879920,1,0,10.89,35.937,118.5921,0,1,0,0,0,0,0,1,0
"11",23.2,16.901,1.4,1,1,1,0,0,0,0,1,0,0,0,1,119,5,0,0,0,0,0,0,285.6438,4827.666,81592.383,0,0,1.96,2.744,3.8415999,1,0,0,0,0,0,0,1,0
"12",11.389,143,7.6,1,1,1,0,0,0,0,1,0,0,1,1,131,4,1,1,1,1,1,0,20449,2924207,418161600,1,1,57.759998,438.97601,3336.2175,0,1,0,0,0,0,1,0,0
"13",13.65,119.636,4.2,1,0,0,0,0,0,1,0,0,0,2,0,123,5,1,1,1,1,1,0,14312.772,1712322.9,204855456,1,0,17.639999,74.087997,311.16959,0,0,1,0,0,0,0,1,0
"14",11.74,83,7.4,1,2,1,0,0,0,0,0,1,0,0,1,120,5,1,1,1,1,0,0,6889,571787,47458320,1,1,54.759998,405.224,2998.6577,1,0,0,0,0,0,0,1,0
"15",23.015,47.2,1.4,1,1,0,0,0,0,1,1,0,0,0,0,123,5,1,1,1,0,0,0,2227.8401,105154.05,4963271,0,0,1.96,2.744,3.8415999,1,0,0,0,0,0,0,1,0
"16",12.07,46.36,7.1,0,1,1,0,0,0,0,1,0,0,1,1,147,4,1,1,1,0,0,0,2149.2495,99639.211,4619274,1,1,50.41,357.91101,2541.1682,0,1,0,0,0,0,1,0,0
"17",25.26,42.495,2.9,1,1,1,0,0,0,0,1,0,0,0,1,123,5,1,1,1,0,0,0,1805.8251,76738.531,3261004,0,0,8.4099998,24.389,70.728104,1,0,0,0,0,0,0,1,0
"18",19.029,29.4,2.3,1,1,0,0,0,0,1,1,0,0,1,1,122,5,1,0,0,0,0,0,864.35999,25412.184,747118.19,0,0,5.29,12.167,27.9841,0,1,0,0,0,0,0,1,0
"19",16.79,18.4,1.1,1,1,0,0,0,1,0,1,0,1,1,1,92,6,0,0,0,0,0,0,338.56,6229.5039,114622.88,0,0,1.21,1.331,1.4641,0,1,0,0,0,0,0,0,1
"20",8.18,110.375,9.4,1,2,0,0,0,0,1,1,0,0,0,1,156,4,1,1,1,1,1,0,12182.641,1344659,148416736,1,1,88.360001,830.58398,7807.4897,1,0,0,0,0,0,1,0,0
"21",5.43,151,13,0,0,1,0,0,0,0,1,0,0,1,0,199,4,1,1,1,1,1,1,22801,3442951,519885600,1,1,169,2197,28561,0,1,0,0,0,0,1,0,0
"22",16.719,94.435,3.3,1,1,0,0,0,0,1,1,0,0,2,1,123,5,1,1,1,1,0,0,8917.9688,842168.44,79530176,1,0,10.89,35.937,118.5921,0,0,1,0,0,0,0,1,0
"23",22.42,84.89,4.3,1,1,0,0,1,0,0,1,0,0,0,1,124,5,1,1,1,1,0,0,7206.312,611743.81,51930936,1,0,18.49,79.507004,341.8801,1,0,0,0,0,0,0,1,0
"24",17.339,54.936,4.4,1,1,0,0,0,1,0,0,0,0,0,1,139,5,1,1,1,1,0,0,3017.9641,165794.88,9108107,1,0,19.360001,85.183998,374.8096,1,0,0,0,0,0,0,1,0
"25",8.82,83,4,1,0,0,1,0,0,0,1,0,0,2,1,119,5,1,1,1,1,0,0,6889,571787,47458320,1,0,16,64,256,0,0,1,0,0,0,0,1,0
"26",8.96,75.19,7.4,1,4,0,0,0,1,0,1,0,0,1,1,137,4,1,1,1,1,0,0,5653.5361,425089.38,31962470,1,1,54.759998,405.224,2998.6577,0,1,0,0,0,0,1,0,0
"27",13.65,71,4.7,1,2,0,0,0,1,0,1,1,0,0,1,125,5,1,1,1,1,0,0,5041,357911,25411680,1,0,22.09,103.823,487.96811,1,0,0,0,0,0,0,1,0
"28",20.42,127.634,3.2,1,1,0,0,0,0,1,1,0,0,1,1,155,5,1,1,1,1,1,0,16290.438,2079213.8,265378368,1,0,10.24,32.768002,104.8576,0,1,0,0,0,0,0,1,0
"29",15.36,22.931,3.2,0,0,0,1,0,0,0,1,0,0,1,1,144,5,1,0,0,0,0,0,525.83075,12057.825,276498,1,0,10.24,32.768002,104.8576,0,1,0,0,0,0,0,1,0
"30",11.24,95.2,2.9,1,1,0,1,0,0,0,1,0,1,1,1,120,5,1,1,1,1,0,0,9063.04,862801.44,82138696,0,0,8.4099998,24.389,70.728104,0,1,0,0,0,0,0,1,0
"31",14.54,85.606,4.8,1,0,0,0,1,0,0,0,0,0,2,0,130,5,1,1,1,1,0,0,7328.3872,627353.94,53705260,1,0,23.040001,110.592,530.84161,0,0,1,0,0,0,0,1,0
"32",29.78,69.89,3.4,1,0,1,0,0,0,0,1,0,0,0,1,123,5,1,1,1,1,0,0,4884.6123,341385.53,23859436,1,0,11.56,39.304001,133.63361,1,0,0,0,0,0,0,1,0
"33",22.43,22.208,1,0,1,0,0,0,0,1,1,0,0,1,1,119,6,1,0,0,0,0,0,493.19525,10952.881,243241.56,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"34",7,186.3,4.3,1,1,0,1,0,0,0,1,0,0,0,1,134,5,1,1,1,1,1,1,34707.691,6466042.5,1204623744,1,0,18.49,79.507004,341.8801,1,0,0,0,0,0,0,1,0
"35",9.27,97,3.5,1,1,0,1,0,0,0,1,0,1,0,1,120,5,1,1,1,1,0,0,9409,912673,88529280,1,0,12.25,42.875,150.0625,1,0,0,0,0,0,0,1,0
"36",10.61,94,7.4,1,0,0,0,0,0,1,1,1,0,2,0,149,5,1,1,1,1,0,0,8836,830584,78074896,1,1,54.759998,405.224,2998.6577,0,0,1,0,0,0,0,1,0
"37",10.33,93.1,5.4,0,1,0,0,0,0,1,1,0,0,0,1,158,5,1,1,1,1,0,0,8667.6104,806954.5,75127464,1,0,29.16,157.464,850.3056,1,0,0,0,0,0,0,1,0
"38",17.71,92.568,3.1,1,1,0,0,0,0,1,1,0,1,1,1,120,5,1,1,1,1,0,0,8568.835,793199.88,73424928,1,0,9.6099997,29.791,92.352097,0,1,0,0,0,0,0,1,0
"39",10.9,129.781,5,1,0,0,0,0,0,1,0,0,0,2,0,120,5,1,1,1,1,1,0,16843.107,2185915.5,283690272,1,0,25,125,625,0,0,1,0,0,0,0,1,0
"40",6.9,184,8,1,0,0,0,0,1,0,1,1,0,2,0,159,4,1,1,1,1,1,1,33856,6229504,1146228736,1,1,64,512,4096,0,0,1,0,0,0,1,0,0
"41",32.78,44.778,4.8,0,2,1,0,0,0,0,1,0,0,1,1,235,5,1,1,1,0,0,0,2005.0693,89782.992,4020302.8,1,0,23.040001,110.592,530.84161,0,1,0,0,0,0,0,1,0
"42",14.53,69.028,3.6,1,1,0,0,0,1,0,1,0,0,1,1,119,5,1,1,1,1,0,0,4764.8647,328909.09,22703936,1,0,12.96,46.655998,167.96159,0,1,0,0,0,0,0,1,0
"43",24.16,119,1.9,1,1,1,0,0,0,0,1,0,0,1,1,112,5,1,1,1,1,1,0,14161,1685159,200533920,0,0,3.6099999,6.8590002,13.0321,0,1,0,0,0,0,0,1,0
"44",5.669,155.1,12.5,1,3,1,0,0,0,0,0,1,0,0,1,158,3,1,1,1,1,1,1,24056.01,3731087.3,578691648,1,1,156.25,1953.125,24414.063,1,0,0,0,0,1,0,0,0
"45",22.46,54.49,4,1,2,0,0,0,0,1,1,0,0,0,0,151,5,1,1,1,1,0,0,2969.1602,161789.53,8815912,1,0,16,64,256,1,0,0,0,0,0,0,1,0
"46",15.98,111.1,3.1,1,1,0,0,0,0,1,1,0,0,1,1,120,5,1,1,1,1,1,0,12343.21,1371330.6,152354832,1,0,9.6099997,29.791,92.352097,0,1,0,0,0,0,0,1,0
"47",6.71,98.82,12,0,2,1,0,0,0,0,1,0,0,1,1,185,4,1,1,1,1,0,0,9765.3926,965016.06,95362888,1,1,144,1728,20736,0,1,0,0,0,0,1,0,0
"48",21.8,76.5,4.6,1,2,0,0,1,0,0,1,0,1,1,1,136,5,1,1,1,1,0,0,5852.25,447697.13,34248832,1,0,21.16,97.335999,447.74561,0,1,0,0,0,0,0,1,0
"49",20.24,17,1.3,1,1,0,0,0,1,0,1,0,0,2,0,119,5,0,0,0,0,0,0,289,4913,83521,0,0,1.6900001,2.197,2.8561001,0,0,1,0,0,0,0,1,0
"50",13.26,126.248,3.1,1,1,0,0,0,1,0,1,0,0,1,1,109,5,1,1,1,1,1,0,15938.558,2012211,254037616,1,0,9.6099997,29.791,92.352097,0,1,0,0,0,0,0,1,0
"51",10.27,154.907,3.8,1,1,0,1,0,0,0,1,0,0,1,1,148,5,1,1,1,1,1,1,23996.178,3717176,575816576,1,0,14.44,54.872002,208.5136,0,1,0,0,0,0,0,1,0
"52",22.48,69.97,3.2,1,1,1,0,0,0,0,1,0,0,2,0,123,5,1,1,1,1,0,0,4895.8008,342559.19,23968866,1,0,10.24,32.768002,104.8576,0,0,1,0,0,0,0,1,0
"53",6.49,159,7.3,1,2,0,0,0,1,0,1,0,0,0,1,122,4,1,1,1,1,1,1,25281,4019679,639128960,1,1,53.290001,389.017,2839.8242,1,0,0,0,0,0,1,0,0
"54",29.27,25.86,1.6,1,1,1,0,0,0,0,1,0,0,0,1,119,6,1,0,0,0,0,0,668.73962,17293.605,447212.66,0,0,2.5599999,4.0960002,6.5535998,1,0,0,0,0,0,0,0,1
"55",24.01,96,3.1,1,0,1,0,0,0,0,1,0,0,2,0,119,5,1,1,1,1,0,0,9216,884736,84934656,1,0,9.6099997,29.791,92.352097,0,0,1,0,0,0,0,1,0
"56",13.39,62.715,3.5,1,2,0,1,0,0,0,1,0,0,0,0,119,5,1,1,1,1,0,0,3933.1711,246668.83,15469836,1,0,12.25,42.875,150.0625,1,0,0,0,0,0,0,1,0
"57",33.89,25.575,1.4,1,1,0,0,0,0,1,1,0,0,0,1,156,5,1,0,0,0,0,0,654.08063,16728.111,427821.47,0,0,1.96,2.744,3.8415999,1,0,0,0,0,0,0,1,0
"58",18.85,81.804,2.6,1,1,0,0,0,0,1,1,0,0,1,1,113,5,1,1,1,1,0,0,6691.8945,547423.75,44781452,0,0,6.7600002,17.576,45.697601,0,1,0,0,0,0,0,1,0
"59",6.55,65.24,10.1,0,1,1,0,0,0,0,1,0,0,0,1,182,4,1,1,1,1,0,0,4256.2578,277678.25,18115728,1,1,102.01,1030.301,10406.04,1,0,0,0,0,0,1,0,0
"60",11.86,75.9,2.2,1,1,0,1,0,0,0,1,0,0,1,1,113,5,1,1,1,1,0,0,5760.8101,437245.47,33186932,0,0,4.8400002,10.648,23.4256,0,1,0,0,0,0,0,1,0
"61",9.72,200,7.2,1,1,1,0,0,0,0,1,0,0,1,1,150,5,1,1,1,1,1,1,40000,8e+06,1.6e+09,1,1,51.84,373.24799,2687.3855,0,1,0,0,0,0,0,1,0
"62",16.44,166,3.3,1,1,0,0,1,0,0,1,0,0,0,1,124,5,1,1,1,1,1,1,27556,4574296,759333120,1,0,10.89,35.937,118.5921,1,0,0,0,0,0,0,1,0
"63",7.2,155,6.3,1,1,0,0,0,1,0,1,0,0,0,1,137,4,1,1,1,1,1,1,24025,3723875,577200640,1,1,39.689999,250.047,1575.2961,1,0,0,0,0,0,1,0,0
"64",15.2,70,4.4,1,1,1,0,0,0,0,1,0,0,2,1,142,5,1,1,1,1,0,0,4900,343000,24010000,1,0,19.360001,85.183998,374.8096,0,0,1,0,0,0,0,1,0
"65",14.04,51.5,4.9,0,2,0,0,1,0,0,1,0,0,1,1,164,5,1,1,1,1,0,0,2652.25,136590.88,7034430,1,0,24.01,117.649,576.4801,0,1,0,0,0,0,0,1,0
"66",5.63,171,10.4,1,0,0,0,0,0,1,1,0,0,1,1,156,4,1,1,1,1,1,1,29241,5000211,855036096,1,1,108.16,1124.864,11698.586,0,1,0,0,0,0,1,0,0
"67",33.9,16.994,1.6,1,2,0,0,1,0,0,1,0,0,1,1,171,6,0,0,0,0,0,0,288.79605,4907.7998,83403.148,0,0,2.5599999,4.0960002,6.5535998,0,1,0,0,0,0,0,0,1
"68",9.57,144,10.1,0,0,1,0,0,0,0,1,0,0,1,1,182,4,1,1,1,1,1,0,20736,2985984,429981696,1,1,102.01,1030.301,10406.04,0,1,0,0,0,0,1,0,0
"69",25.35,23.33,1,1,1,0,0,0,0,1,1,0,0,1,0,119,6,1,0,0,0,0,0,544.28888,12698.26,296250.41,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"70",9.049,199.98,7.6,1,1,0,0,0,0,1,1,0,0,0,1,189,4,1,1,1,1,1,1,39992,7997600,1599360128,1,1,57.759998,438.97601,3336.2175,1,0,0,0,0,0,1,0,0
"71",13.61,20.85,1.4,0,1,0,1,0,0,0,1,0,0,1,1,134,5,1,0,0,0,0,0,434.7225,9063.9639,188983.66,0,0,1.96,2.744,3.8415999,0,1,0,0,0,0,0,1,0
"72",20.119,160,4,1,2,0,0,1,0,0,0,1,0,0,1,128,5,1,1,1,1,1,1,25600,4096000,655360000,1,0,16,64,256,1,0,0,0,0,0,0,1,0
"73",12.68,143.4,7.7,1,0,0,0,1,0,0,1,0,0,0,1,161,4,1,1,1,1,1,0,20563.561,2948814.5,422860000,1,1,59.290001,456.53299,3515.3042,1,0,0,0,0,0,1,0,0
"74",22.38,111.326,3.4,1,1,0,0,1,0,0,1,0,1,2,0,136,5,1,1,1,1,1,0,12393.479,1379716.4,153598304,1,0,11.56,39.304001,133.63361,0,0,1,0,0,0,0,1,0
"75",5.5,129.651,7.7,0,2,0,1,0,0,0,1,0,0,1,1,163,4,1,1,1,1,1,0,16809.381,2179353.3,282555328,1,1,59.290001,456.53299,3515.3042,0,1,0,0,0,0,1,0,0
"76",10.71,160.871,3.5,1,1,0,0,0,1,0,1,0,0,1,1,128,5,1,1,1,1,1,1,25879.479,4163257.5,669747392,1,0,12.25,42.875,150.0625,0,1,0,0,0,0,0,1,0
"77",14.68,125,3.4,1,1,0,0,0,0,1,1,0,0,1,1,135,5,1,1,1,1,1,0,15625,1953125,244140624,1,0,11.56,39.304001,133.63361,0,1,0,0,0,0,0,1,0
"78",9.43,139.9,3.8,1,1,0,0,0,1,0,1,0,1,0,1,109,5,1,1,1,1,1,0,19572.01,2738124.3,383063584,1,0,14.44,54.872002,208.5136,1,0,0,0,0,0,0,1,0
"79",14.82,189.2,3.8,1,1,0,0,1,0,0,1,0,0,0,1,133,5,1,1,1,1,1,1,35796.641,6772724.5,1281399424,1,0,14.44,54.872002,208.5136,1,0,0,0,0,0,0,1,0
"80",22.335,18.704,1.2,1,1,0,0,0,0,1,1,0,0,1,1,125,6,0,0,0,0,0,0,349.83963,6543.4004,122387.76,0,0,1.4400001,1.728,2.0736001,0,1,0,0,0,0,0,0,1
"81",8.29,163.44,6.3,1,1,0,0,0,1,0,1,0,0,0,1,122,4,1,1,1,1,1,1,26712.633,4365913,713564800,1,1,39.689999,250.047,1575.2961,1,0,0,0,0,0,1,0,0
"82",17.48,150,3.3,1,1,1,0,0,0,0,0,0,0,2,1,124,5,1,1,1,1,1,1,22500,3375000,506249984,1,0,10.89,35.937,118.5921,0,0,1,0,0,0,0,1,0
"83",15.84,19,1.7,0,0,0,0,0,1,0,1,0,0,0,1,124,5,0,0,0,0,0,0,361,6859,130321,0,0,2.8900001,4.9130001,8.3521004,1,0,0,0,0,0,0,1,0
"84",19.59,24.976,1,0,1,0,0,0,1,0,1,0,0,1,0,126,6,1,0,0,0,0,0,623.8006,15580.043,389127.16,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"85",8.02,149,10,0,0,0,0,0,0,1,1,0,0,2,1,214,4,1,1,1,1,1,0,22201,3307949,492884416,1,1,100,1000,10000,0,0,1,0,0,0,1,0,0
"86",14.99,91.735,5.1,1,1,0,0,0,0,1,1,0,0,1,1,120,5,1,1,1,1,0,0,8415.3105,771978.5,70817448,1,0,26.01,132.651,676.52008,0,1,0,0,0,0,0,1,0
"87",13.17,65.77,5.1,1,3,0,0,0,1,0,1,0,0,1,1,109,5,1,1,1,1,0,0,4325.6929,284500.81,18711620,1,0,26.01,132.651,676.52008,0,1,0,0,0,0,0,1,0
"88",15.27,109.6,2.4,1,1,0,1,0,0,0,1,0,1,0,1,154,5,1,1,1,1,1,0,12012.16,1316532.8,144291984,0,0,5.7600002,13.824,33.177601,1,0,0,0,0,0,0,1,0
"89",16.85,13.55,1.7,0,1,0,1,0,0,0,0,0,0,2,0,137,5,0,0,0,0,0,0,183.60249,2487.814,33709.879,0,0,2.8900001,4.9130001,8.3521004,0,0,1,0,0,0,0,1,0
"90",13.47,106.5,5.4,1,2,0,0,0,0,1,1,0,0,1,0,170,5,1,1,1,1,1,0,11342.25,1207949.6,128646632,1,0,29.16,157.464,850.3056,0,1,0,0,0,0,0,1,0
"91",6.09,140,6.7,1,2,0,0,0,1,0,1,0,0,0,1,137,4,1,1,1,1,1,0,19600,2744000,384160000,1,1,44.889999,300.763,2015.1121,1,0,0,0,0,0,1,0,0
"92",29.25,31.988,1.5,1,1,0,0,1,0,0,1,0,0,0,0,128,5,1,1,0,0,0,0,1023.2321,32731.15,1047004,0,0,2.25,3.375,5.0625,1,0,0,0,0,0,0,1,0
"93",9.92,180,4.1,1,1,0,0,0,0,1,1,0,0,0,1,116,5,1,1,1,1,1,1,32400,5832000,1049760000,1,0,16.809999,68.920998,282.57611,1,0,0,0,0,0,0,1,0
"94",11.71,199.95,8,0,2,0,0,1,0,0,1,0,0,0,1,229,4,1,1,1,1,1,1,39980.004,7994001.5,1598400640,1,1,64,512,4096,1,0,0,0,0,0,1,0,0
"95",13.12,100.898,8,1,1,0,0,0,0,1,1,0,0,1,1,177,4,1,1,1,1,1,0,10180.406,1027182.6,103640672,1,1,64,512,4096,0,1,0,0,0,0,1,0,0
"96",21.91,21.336,1,1,1,0,0,0,1,0,1,0,1,1,1,117,6,1,0,0,0,0,0,455.22488,9712.6787,207229.7,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"97",13.37,112,6.2,1,2,1,0,0,0,0,1,0,0,0,1,142,5,1,1,1,1,1,0,12544,1404928,157351936,1,1,38.439999,238.328,1477.6335,1,0,0,0,0,0,0,1,0
"98",15.359,61.404,5.8,0,1,0,0,0,1,0,1,0,0,1,1,139,5,1,1,1,1,0,0,3770.4512,231520.78,14216302,1,0,33.639999,195.112,1131.6497,0,1,0,0,0,0,0,1,0
"99",16.53,114.5,3.5,1,1,0,0,0,0,1,1,0,0,1,0,125,6,1,1,1,1,1,0,13110.25,1501123.6,171878656,1,0,12.25,42.875,150.0625,0,1,0,0,0,0,0,0,1
